ratio,maximum,success
96.759,7389.0,1433.0
98.981,7717.0,1166.0
97.397,7181.0,1721.0
98.093,7480.0,1183.0
98.044,7273.0,1704.0
99.32,7728.0,1898.0
98.405,7883.0,2653.0
99.138,8333.0,2646.0
98.856,8631.0,3110.0
99.675,8788.0,3063.0
98.571,9223.0,3724.0
99.423,9042.0,2929.0
98.312,9620.0,4136.0
99.354,9272.0,2921.0
51.496,9866.0,6938.0
99.01,9877.0,3502.0
47.292,8942.0,9062.0
99.302,9936.0,2845.0
79.159,8792.0,4725.0
99.695,10132.0,6541.0
53.628,8950.0,10915.0
98.982,10218.0,2819.0
82.16,8597.0,4343.0
99.117,10061.0,2917.0
74.766,8721.0,4480.0
99.515,10148.0,2870.0
70.117,8786.0,4146.0
99.353,10072.0,2919.0
69.969,8893.0,4096.0
99.076,10087.0,3001.0
76.794,9002.0,4474.0
99.127,10240.0,3180.0
73.905,9156.0,4370.0
98.978,10271.0,3195.0
74.629,9298.0,5133.0
99.388,10305.0,3250.0
75.756,9345.0,4859.0
98.971,10288.0,2692.0
80.375,9124.0,4075.0
98.732,10112.0,1947.0
80.377,8794.0,3113.0
99.486,9523.0,3486.0
77.417,8364.0,3027.0
97.967,8724.0,1349.0
85.885,7843.0,1868.0
97.751,8370.0,1130.0
87.533,7558.0,1657.0
98.624,8107.0,932.0
87.534,7410.0,1629.0
99.093,7953.0,1092.0
96.8,7303.0,2208.0
98.75,7976.0,1264.0
98.097,7523.0,2010.0
99.223,8406.0,2170.0
52.618,7955.0,6372.0
99.266,9268.0,3383.0
48.05,7989.0,8588.0
99.326,10277.0,4418.0
66.893,8768.0,4831.0
99.168,10631.0,3934.0
69.949,9207.0,4774.0
99.061,10951.0,3799.0
66.667,9431.0,4692.0
99.249,11025.0,3701.0
74.361,9661.0,5003.0
99.149,11018.0,3611.0
72.722,9727.0,4980.0
98.971,11038.0,3461.0
77.134,9783.0,5684.0
99.228,10996.0,3984.0
73.035,9744.0,6086.0
99.194,10976.0,4060.0
69.145,9821.0,5506.0
99.324,10976.0,3823.0
68.947,9831.0,6177.0
99.2,10828.0,3718.0
74.84,9806.0,5830.0
99.08,10701.0,3771.0
72.451,9892.0,5741.0
99.309,10550.0,4023.0
